Received Log:

[Feb 16, 2023 09:48:38] ASCII:
13845 total fuel pulse 	1.63 s	53.211 mL/min	5 counter	2671 total water pulse	10.0 % water	90.0% fuel
13846 total fuel pulse 	1.90 s	45.693 mL/min	1 counter	2671 total water pulse	0.0 % water	18.0% fuel
13847 total fuel pulse 	1.59 s	54.648 mL/min	2 counter	2671 total water pulse	0.0 % water	36.0% fuel
13848 total fuel pulse 	1.66 s	52.505 mL/min	3 counter	2671 total water pulse	0.0 % water	54.0% fuel
13849 total fuel pulse 	1.76 s	49.488 mL/min	4 counter	2671 total water pulse	0.0 % water	72.0% fuel
13850 total fuel pulse 	1.83 s	47.541 mL/min	5 counter	2672 total water pulse	10.0 % water	90.0% fuel
13851 total fuel pulse 	2.45 s	35.496 mL/min	1 counter	2672 total water pulse	0.0 % water	18.0% fuel
13852 total fuel pulse 	1.95 s	44.524 mL/min	2 counter	2672 total water pulse	0.0 % water	36.0% fuel
13853 total fuel pulse 	2.01 s	43.305 mL/min	3 counter	2672 total water pulse	0.0 % water	54.0% fuel
13854 total fuel pulse 	2.07 s	42.029 mL/min	4 counter	2672 total water pulse	0.0 % water	72.0% fuel
13855 total fuel pulse 	2.00 s	43.565 mL/min	5 counter	2673 total water pulse	10.0 % water	90.0% fuel
13856 total fuel pulse 	2.51 s	34.606 mL/min	1 counter	2673 total water pulse	0.0 % water	18.0% fuel
13857 total fuel pulse 	1.95 s	44.570 mL/min	2 counter	2673 total water pulse	0.0 % water	36.0% fuel
13858 total fuel pulse 	1.97 s	44.252 mL/min	3 counter	2673 total water pulse	0.0 % water	54.0% fuel
13859 total fuel pulse 	2.16 s	40.278 mL/min	4 counter	2673 total water pulse	0.0 % water	72.0% fuel
13860 total fuel pulse 	2.02 s	42.984 mL/min	5 counter	2674 total water pulse	10.0 % water	90.0% fuel
13861 total fuel pulse 	2.42 s	35.891 mL/min	1 counter	2674 total water pulse	0.0 % water	18.0% fuel
13862 total fuel pulse 	1.91 s	45.502 mL/min	2 counter	2674 total water pulse	0.0 % water	36.0% fuel
13863 total fuel pulse 	1.92 s	45.218 mL/min	3 counter	2674 total water pulse	0.0 % water	54.0% fuel
13864 total fuel pulse 	2.00 s	43.609 mL/min	4 counter	2674 total water pulse	0.0 % water	72.0% fuel
13865 total fuel pulse 	2.02 s	43.027 mL/min	5 counter	2675 total water pulse	10.0 % water	90.0% fuel
13866 total fuel pulse 	2.24 s	38.787 mL/min	1 counter	2675 total water pulse	0.0 % water	18.0% fuel
13867 total fuel pulse 	1.85 s	46.926 mL/min	2 counter	2675 total water pulse	0.0 % water	36.0% fuel
13868 total fuel pulse 	1.90 s	45.838 mL/min	3 counter	2675 total water pulse	0.0 % water	54.0% fuel
13869 total fuel pulse 	2.06 s	42.315 mL/min	4 counter	2675 total water pulse	0.0 % water	72.0% fuel
13870 total fuel pulse 	2.10 s	41.468 mL/min	5 counter	2676 total water pulse	10.0 % water	90.0% fuel
13871 total fuel pulse 	2.57 s	33.813 mL/min	1 counter	2676 total water pulse	0.0 % water	18.0% fuel
13872 total fuel pulse 	2.05 s	42.418 mL/min	2 counter	2676 total water pulse	0.0 % water	36.0% fuel
13873 total fuel pulse 	2.02 s	43.091 mL/min	3 counter	2676 total water pulse	0.0 % water	54.0% fuel
13874 total fuel pulse 	2.00 s	43.544 mL/min	4 counter	2676 total water pulse	0.0 % water	72.0% fuel
13875 total fuel pulse 	1.99 s	43.829 mL/min	5 counter	2677 total water pulse	10.0 % water	90.0% fuel
13876 total fuel pulse 	2.50 s	34.758 mL/min	1 counter	2677 total water pulse	0.0 % water	18.0% fuel
13877 total fuel pulse 	1.76 s	49.488 mL/min	2 counter	2677 total water pulse	0.0 % water	36.0% fuel
13878 total fuel pulse 	1.65 s	52.600 mL/min	3 counter	2677 total water pulse	0.0 % water	54.0% fuel
13879 total fuel pulse 	1.57 s	55.520 mL/min	4 counter	2677 total water pulse	0.0 % water	72.0% fuel
13880 total fuel pulse 	1.49 s	58.350 mL/min	5 counter	2678 total water pulse	10.0 % water	90.0% fuel
13881 total fuel pulse 	1.61 s	54.004 mL/min	1 counter	2678 total water pulse	0.0 % water	18.0% fuel
13882 total fuel pulse 	1.16 s	75.130 mL/min	2 counter	2678 total water pulse	0.0 % water	36.0% fuel
13883 total fuel pulse 	1.08 s	80.705 mL/min	3 counter	2678 total water pulse	0.0 % water	54.0% fuel
13884 total fuel pulse 	1.05 s	83.095 mL/min	4 counter	2678 total water pulse	0.0 % water	72.0% fuel
13885 total fuel pulse 	1.01 s	85.884 mL/min	5 counter	2679 total water pulse	10.0 % water	90.0% fuel
13886 total fuel pulse 	1.24 s	70.161 mL/min	1 counter	2679 total water pulse	0.0 % water	18.0% fuel
13887 total fuel pulse 	0.97 s	89.506 mL/min	2 counter	2679 total water pulse	0.0 % water	36.0% fuel
13888 total fuel pulse 	0.98 s	88.415 mL/min	3 counter	2679 total water pulse	0.0 % water	54.0% fuel
13889 total fuel pulse 	1.04 s	83.573 mL/min	4 counter	2679 total water pulse	0.0 % water	72.0% fuel
13890 total fuel pulse 	1.14 s	76.585 mL/min	5 counter	2680 total water pulse	10.0 % water	90.0% fuel
13891 total fuel pulse 	1.37 s	63.596 mL/min	1 counter	2680 total water pulse	0.0 % water	18.0% fuel
13892 total fuel pulse 	1.18 s	73.917 mL/min	2 counter	2680 total water pulse	0.0 % water	36.0% fuel
13893 total fuel pulse 	1.17 s	74.169 mL/min	3 counter	2680 total water pulse	0.0 % water	54.0% fuel
13894 total fuel pulse 	1.23 s	70.502 mL/min	4 counter	2680 total water pulse	0.0 % water	72.0% fuel
13895 total fuel pulse 	1.30 s	67.026 mL/min	5 counter	2681 total water pulse	10.0 % water	90.0% fuel
13896 total fuel pulse 	1.63 s	53.374 mL/min	1 counter	2681 total water pulse	0.0 % water	18.0% fuel
